club name,club description,club sponsor,club email,club recognition_year
Graduate Athletic Training Club (Previously Known as Athletic Training Club),"The purpose of GSAT shall be to provide a space for Graduate Athletic Training Students at Oregon State University to meet, collaborate, and develop as young professionals.","Sponsored Student Organization, Student Experiences & Engagement",gsat.clubs@oregonstate.edu,Recognized For: 2023/2024
Graduate Christian Fellowship,"A community of Christian graduates at OSU, growing in Christ as the Bible leads us, and committed to fellowship through retreats, intentional conversations, and shared spirituality.","Voluntary Student Organization, Student Experiences & Engagement",GradChristianFellowship.clubs@oregonstate.edu,Recognized For: 2023/2024
Greeks Go Green,"The purpose of the organization is to inspire and empower students (particularly in the Greek community) to make sustainable choices in their everyday activities. By working together, we can ensure a better quality of life for all, today and in the future, in a just and equitable manner, while living within the limits of supporting ecosystems.","Voluntary Student Organization, Student Experiences & Engagement",GreeksGoGreen.clubs@oregonstate.edu,Recognized For: 2023/2024
Gymnastics Club,"Gymnastics club is dedicated to improving participants’ gymnastics skills while having fun and being safe. We meet three nights a week for two hours each time and we are open to people of all skill level, from beginner to upper-level.","Department Student Organization, Rec Sports/Sport Clubs",gymnastics@oregonstate.edu,Recognized For: 2023/2024
Hackathon Club at Oregon State,"The Hackathon Club is dedicated to strengthening the community of OSU students by hosting coding competitions and workshops that improve skills, foster connections, and provide opportunities to work on extracurricular projects.",Sponsored Student Organization sponsored by Electrical Engineering and Computer Science,Hackathon.clubs@oregonstate.edu,Recognized For: 2023/2024
Hatfield Marine Science Center Student Organization,"The Hatfield Student Organization (HsO) is a resource for all students at OSU's Hatfield Marine Science Center (HMSC). The goals of the HsO are to improve communication among students and faculty at Hatfield Marine Science Center; enhance collaboration among students, as well as to promote and endorse their work; expand and diversify the range of educational experiences available at Hatfield Marine Science Center;  increase opportunities for professional development of students; and articulate the needs of students and advocate their views at the Science Center and University levels.","Voluntary Student Organization, Student Experiences & Engagement",Hatfield.clubs@oregonstate.edu,Recognized For: 2023/2024
Healthy Aging Club at OSU,To share and build upon our knowledge of aging in a multidisciplinary perspective through intellectual discussion and community involvement.,"Voluntary Student Organization, Student Experiences & Engagement",HealthyAging.clubs@oregonstate.edu,Recognized For: 2023/2024
Herbivores,"The club purpose is to meet like-minded individuals, who share the common interest in learning or spreading awareness of the issues vegan and vegetarian lifestyles aim to address.","Voluntary Student Organization, Student Experiences & Engagement",Herbivores.clubs@oregonstate.edu,Recognized For: 2023/2024
Herpetology Club,"The mission of the Herpetology Club is to provide an organized club to create and support interests in the scientific field of herpetology, while providing experience and volunteer opportunities to students.","Voluntary Student Organization, Student Experiences & Engagement",Herpetology.clubs@oregonstate.edu,Recognized For: 2023/2024
Hillel,Hillel is the Foundation for Jewish Life at Oregon State University.,"Index Negative Balance , Student Experiences & Engagement",hillel.clubs@oregonstate.edu,Recognized For: 2023/2024
Himalayan Student Association,"HSA aims to promote and share the culture of students of Himalayan descent (including but not limited to Bhutan, north India, Nepal, Pakistan, and Tibet) through various activities, projects, and events","Voluntary Student Organization, Student Experiences & Engagement",Himalayan.clubs@oregonstate.edu,Recognized For: 2023/2024
Hindu YUVA at OSU,"Hindu YUVA is a socio-cultural club on campus which aims to become a platform that aims to preserve, practice, protect, and promote Hindu culture and heritage by bringing together Hindu youth on the OSU campus.","Voluntary Student Organization, Student Experiences & Engagement",mallampv@oregonstate.edu,Recognized For: 2023/2024
History Students' Association,"The purpose of this organization is to allow members to study, share information, and promote awareness of the study of History on the OSU campus.","Voluntary Student Organization, Student Experiences & Engagement",historystudentassoc.clubs@oregonstate.edu,Recognized For: 2023/2024
